ABR,Buffer Level(secs), Bitrate(Kbps), Measure Throughput(Kbps), Content Lenght(bytes), Download Time(milisecs)
null,0.362,1628,63869,1677747,11
null,64.067,1628,66059.5,1277099,2
null,63.005,1628,66059.5,1277099,2
null,55.016,1628,66059.5,1277099,2
null,55.049,1628,53136,1116470,593
null,55.016,1628,40166.8,1409680,590
null,47.042,1628,40166.8,1409680,590
null,54.812,882,1442.5,739,0
null,46.825,882,1442.5,739,0
null,38.851,882,1442.5,739,0
null,30.883,882,1442.5,739,0
null,22.916,882,1442.5,739,0
null,14.931,882,1442.5,739,0
null,12.138,882,1442.5,739,0
null,12.138,882,1442.5,739,0
null,12.138,882,1442.5,739,0
null,5.301,1628,65857,570492,12
null,0.451,542,66581.5,83374,0
null,60.959,1628,69220.75,1269978,8
null,61.028,1628,68994,1479723,17
null,61.027,1628,69304.75,1083094,21
null,61.086,1628,69500,1052342,23
null,60.853,1628,65664.5,1002185,21
null,60.832,1628,65623.25,1086708,18
null,60.869,1628,65607.5,1726333,19
null,60.941,1628,65313.75,1362021,14
null,60.903,1628,65471.75,1240483,13
null,60.949,1628,65638.25,1441964,14
null,61.064,1628,65599.75,1656385,130
null,61.011,1628,65344.25,1251974,16
null,61.052,1628,65483,995884,17
null,53.092,1628,65483,995884,17
null,53.158,1628,52675,1277578,591
null,52.824,1628,39854.6,1651238,594
null,52.95,1628,26957.8,1694504,590
null,52.893,882,1442.5,1185764,592
null,44.934,882,1442.5,1185764,592
null,36.959,882,1442.5,1185764,592
null,28.985,882,1442.5,1185764,592
null,21.018,882,1442.5,1185764,592
null,13.905,882,1442.5,1185764,592
null,8.068,1628,65608.25,1405965,12
null,0.362,542,64316.25,235679,13
null,0.712,542,67425.5,195188,10
null,4.364,1628,63799.5,1843506,15
null,0.381,542,66433.5,83374,10
null,1.824,1628,66012.5,1030710,8
null,63.855,1628,67031.5,2195182,2
null,65.192,1628,65613.25,1943904,12
null,65.19,1628,65613.25,1127524,3
null,65.216,1628,65613.25,2077749,3
null,65.166,1628,65613.25,2464020,10
null,65.223,1628,65613.25,2677227,5
null,65.287,1628,65613.25,2239338,9
null,65.3,1628,65613.25,1029073,9
null,65.308,1628,65613.25,570492,0
null,65.064,1628,65613.25,1030710,4
null,65.128,1628,65613.25,968545,10
null,65.192,1628,65613.25,1312019,3
null,65.137,1628,65613.25,1405965,7
null,65.219,1628,65613.25,3860075,12
null,65.137,1628,65613.25,3108812,7
null,65.245,1628,65613.25,2370137,3
null,65.274,1628,65613.25,1564467,9
null,65.34,1628,65613.25,1141517,5
null,65.303,1628,65613.25,2461679,4
null,65.062,1628,65613.25,1677755,3
null,65.058,1628,65613.25,764815,12
null,65.193,1628,65613.25,997239,17
null,65.193,1628,65613.25,886026,39
null,65.135,1628,70637.6,1304322,18
null,65.165,1628,70126,1646974,29
null,65.2,1628,70223.83333333333,1627523,14
null,65.236,1628,70161.5,1595446,18
null,65.263,1628,66068.25,2670955,14
null,66.712,1628,65359.5,3171931,45
null,66.712,1628,65359.5,3171931,45
null,66.712,1628,65359.5,3171931,45
null,66.712,1628,65359.5,3171931,45
null,63.269,1628,65359.5,3171931,45
null,55.297,1628,65359.5,3171931,45
null,47.332,1628,65359.5,3171931,45
null,47.13,1628,52575.8,3265669,593
null,39.158,1628,52575.8,3265669,593
null,31.189,1628,52575.8,3265669,593
null,31.29,1628,39778.4,3255765,595
null,31.324,1628,26840.4,1519075,583
null,31.24,882,1441.5,2008115,584
null,23.278,882,1441.5,2008115,584
null,15.314,882,1441.5,2008115,584
null,7.311,882,23889.333333333332,127776,35
null,0.08,882,23889.333333333332,127776,35
null,43.08,882,23889.333333333332,127776,35
null,35.104,882,23889.333333333332,127776,35
null,27.128,882,23889.333333333332,127776,35
null,18.893,882,23889.333333333332,127776,35
null,10.885,882,23889.333333333332,127776,35
